"","CNA_cohort","CNA_covered_in_sc23"
"159","chr6_41030698_41276119","chr6_41134573_41205469"
"160","chr6_42114790_42836322","chr6_42141152_42321352,chr6_42321352_42515020,chr6_42515020_42836198"
"161","chr6_48051995_49285123","chr6_48124988_48293806,chr6_48293806_48352669,chr6_48352669_48431988,chr6_48431988_48459477,chr6_48459477_48523667,chr6_48523667_48568779,chr6_48568779_48619215,chr6_48619215_48660489,chr6_48660489_48698939,chr6_48698939_48769039,chr6_48769039_48825714,chr6_48825714_48907764,chr6_48907764_48983177,chr6_48983177_49035198,chr6_49035198_49069418,chr6_49069418_49170530,chr6_49170530_49191835"
"162","chr6_49627615_50399163","chr6_49718652_49805317,chr6_49805317_49966692,chr6_49966692_49998110,chr6_49998110_50027720,chr6_50027720_50090514,chr6_50090514_50174802,chr6_50174802_50234526,chr6_50234526_50276029,chr6_50276029_50333147"
"163","chr6_50731270_51039825","chr6_50874890_50907333,chr6_50907333_50963544"
"164","chr6_52730225_52861089","chr6_52759189_52812877"
"165","chr6_53809895_55474423","chr6_53817762_53979114,chr6_53979114_54136608,chr6_54136608_54187905,chr6_54187905_54216471,chr6_54216471_54241835,chr6_54241835_54254137,chr6_54254137_54285688,chr6_54285688_54547837,chr6_54547837_54626637,chr6_54626637_54635834,chr6_54635834_54870393,chr6_54870393_55013691,chr6_55013691_55065524,chr6_55065524_55085688,chr6_55085688_55183035,chr6_55183035_55199708"
"166","chr6_56657776_56969872","chr6_56833952_56934437"
"167","chr6_60768261_63030532","chr6_61910533_61957953,chr6_61957953_62046835,chr6_62046835_62464251,chr6_62464251_62490335,chr6_62490335_62552620,chr6_62552620_62586970,chr6_62586970_62686556,chr6_62686556_62777296,chr6_62777296_62853060"
"168","chr6_64972844_65226434","chr6_64977501_65158480,chr6_65158480_65189555"
"169","chr6_66201371_66586786","chr6_66259063_66301271,chr6_66301271_66395252,chr6_66395252_66424635,chr6_66424635_66440979,chr6_66440979_66505173,chr6_66505173_66553816"
"170","chr6_68098983_68379088","chr6_68365115_68368195"
"171","chr6_68479879_68924680","chr6_68528728_68552811,chr6_68552811_68573645,chr6_68573645_68622921,chr6_68622921_68724978,chr6_68724978_68803212,chr6_68803212_68873207"
"172","chr6_69745287_70389137","chr6_69941382_70132654,chr6_70132654_70183252,chr6_70183252_70349085,chr6_70349085_70352205"
"173","chr6_73345016_73551217","chr6_73369560_73513133"
"174","chr6_73614821_74622695","chr6_73633338_73750770,chr6_73750770_73788222,chr6_73788222_73844141,chr6_73844141_73886477,chr6_73886477_73924873,chr6_73924873_73957969,chr6_73957969_74041928,chr6_74041928_74298066,chr6_74298066_74327548,chr6_74327548_74379909,chr6_74379909_74533515,chr6_74533515_74581267,chr6_74581267_74607426"
"175","chr6_75047131_75551023","chr6_75328784_75396665,chr6_75396665_75524143"
"176","chr6_75560629_75668213","chr6_75587953_75663530"
"177","chr6_75871054_76136826","chr6_75945523_76011860"
"178","chr6_77532133_77711924","chr6_77542036_77608465"
"179","chr7_78893594_79103594","chr7_79022636_79060316"
"180","chr7_80472465_82728612","chr7_80513675_80549747,chr7_80549747_80581463,chr7_80581463_80660502,chr7_80660502_80778099,chr7_80778099_80829787,chr7_80829787_80868376,chr7_80868376_81003311,chr7_81003311_81058703,chr7_81058703_81133934,chr7_81133934_81279313,chr7_81279313_81398502,chr7_81398502_81554238,chr7_81554238_81586777,chr7_81586777_81599534,chr7_81599534_81666253,chr7_81666253_81880648,chr7_81880648_81924278,chr7_81924278_82018207,chr7_82018207_82031611,chr7_82031611_82149613,chr7_82149613_82245888,chr7_82245888_82293252,chr7_82293252_82348164,chr7_82348164_82601319,chr7_82601319_82713243"
"181","chr7_84324513_102463262","chr7_ 84501427_ 84572055,chr7_ 84572055_ 84625715,chr7_ 84625715_ 84756327,chr7_ 84756327_ 84889617,chr7_ 84889617_ 84975048,chr7_ 84975048_ 85145628,chr7_ 85145628_ 85288893,chr7_ 85288893_ 85578021,chr7_ 85578021_ 85731330,chr7_ 85731330_ 85796007,chr7_ 85796007_ 85831601,chr7_ 85831601_ 85966464,chr7_ 85966464_ 86092454,chr7_ 86092454_ 86171855,chr7_ 86171855_ 86297398,chr7_ 86297398_ 86393959,chr7_ 86393959_ 86455732,chr7_ 86455732_ 86488769,chr7_ 86488769_ 86640635,chr7_ 86640635_ 86720751,chr7_ 86720751_ 86811082,chr7_ 86811082_ 86970937,chr7_ 86970937_ 86986593,chr7_ 86986593_ 87076353,chr7_ 87076353_ 87196559,chr7_ 87196559_ 87223687,chr7_ 87223687_ 87247296,chr7_ 87247296_ 87298106,chr7_ 87298106_ 87388676,chr7_ 87388676_ 87597582,chr7_ 87597582_ 87644598,chr7_ 87644598_ 87701967,chr7_ 87701967_ 87838467,chr7_ 87838467_ 87849996,chr7_ 87849996_ 87917484,chr7_ 87917484_ 87932620,chr7_ 87932620_ 88066543,chr7_ 88066543_ 88206303,chr7_ 88206303_ 88267965,chr7_ 88267965_ 88356551,chr7_ 88356551_ 88375396,chr7_ 88375396_ 88379347,chr7_ 88379347_ 88476569,chr7_ 88476569_ 88797008,chr7_ 88797008_ 89025252,chr7_ 89025252_ 89065908,chr7_ 89065908_ 89126960,chr7_ 89126960_ 89168038,chr7_ 89168038_ 89442423,chr7_ 89442423_ 89462812,chr7_ 89462812_ 89539457,chr7_ 89539457_ 89597600,chr7_ 89597600_ 89633471,chr7_ 89633471_ 89733999,chr7_ 89733999_ 89826988,chr7_ 89826988_ 89861395,chr7_ 89861395_ 90015433,chr7_ 90015433_ 90052564,chr7_ 90052564_ 90134431,chr7_ 90134431_ 90341571,chr7_ 90341571_ 90481979,chr7_ 90481979_ 90571530,chr7_ 90571530_ 90645560,chr7_ 90645560_ 90717937,chr7_ 90717937_ 90750337,chr7_ 90750337_ 90822241,chr7_ 90822241_ 90873719,chr7_ 90873719_ 90919818,chr7_ 90919818_ 90946869,chr7_ 90946869_ 90976624,chr7_ 90976624_ 91061501,chr7_ 91061501_ 91167410,chr7_ 91167410_ 91198945,chr7_ 91198945_ 91259007,chr7_ 91259007_ 91384342,chr7_ 91384342_ 91445599,chr7_ 91445599_ 91494246,chr7_ 91494246_ 91511993,chr7_ 91511993_ 91547166,chr7_ 91547166_ 91572947,chr7_ 91572947_ 91628428,chr7_ 91628428_ 91697667,chr7_ 91697667_ 91791440,chr7_ 91791440_ 91879738,chr7_ 91879738_ 91887294,chr7_ 91887294_ 91989704,chr7_ 91989704_ 92021924,chr7_ 92021924_ 92187054,chr7_ 92187054_ 92232908,chr7_ 92232908_ 92279681,chr7_ 92279681_ 92313054,chr7_ 92313054_ 92391124,chr7_ 92391124_ 92415638,chr7_ 92415638_ 92438164,chr7_ 92438164_ 92655052,chr7_ 92655052_ 92717679,chr7_ 92717679_ 92755234,chr7_ 92755234_ 92904831,chr7_ 92904831_ 92970734,chr7_ 92970734_ 93027121,chr7_ 93027121_ 93126133,chr7_ 93126133_ 93167522,chr7_ 93167522_ 93208298,chr7_ 93208298_ 93284824,chr7_ 93284824_ 93324532,chr7_ 93324532_ 93469848,chr7_ 93469848_ 93688601,chr7_ 93688601_ 93727580,chr7_ 93727580_ 93784802,chr7_ 93784802_ 93835285,chr7_ 93835285_ 93840591,chr7_ 93840591_ 93952266,chr7_ 93952266_ 93980113,chr7_ 93980113_ 94009892,chr7_ 94009892_ 94032119,chr7_ 94032119_ 94048355,chr7_ 94048355_ 94233780,chr7_ 94233780_ 94271543,chr7_ 94271543_ 94320331,chr7_ 94320331_ 94345050,chr7_ 94345050_ 94440487,chr7_ 94440487_ 94527037,chr7_ 94527037_ 94692407,chr7_ 94692407_ 94747260,chr7_ 94747260_ 94871144,chr7_ 94871144_ 94958887,chr7_ 94958887_ 94979996,chr7_ 94979996_ 95111312,chr7_ 95111312_ 95247504,chr7_ 95247504_ 95297911,chr7_ 95297911_ 95359682,chr7_ 95359682_ 95407812,chr7_ 95407812_ 95502750,chr7_ 95502750_ 95543534,chr7_ 95543534_ 95612704,chr7_ 95612704_ 95771473,chr7_ 95771473_ 95788915,chr7_ 95788915_ 95836052,chr7_ 95836052_ 95879128,chr7_ 95879128_ 95908440,chr7_ 95908440_ 95944296,chr7_ 95944296_ 95975653,chr7_ 95975653_ 96046881,chr7_ 96046881_ 96170190,chr7_ 96170190_ 96203003,chr7_ 96203003_ 96235051,chr7_ 96235051_ 96326796,chr7_ 96326796_ 96425677,chr7_ 96425677_ 96602811,chr7_ 96602811_ 96720571,chr7_ 96720571_ 96835949,chr7_ 96835949_ 97228244,chr7_ 97228244_ 97512458,chr7_ 97512458_ 97575596,chr7_ 97575596_ 97827169,chr7_ 97827169_ 98231956,chr7_ 98231956_ 98354231,chr7_ 98354231_ 98452575,chr7_ 98452575_ 98511803,chr7_ 98511803_ 98702831,chr7_ 98702831_ 98736786,chr7_ 98736786_ 98798975,chr7_ 98798975_ 98823930,chr7_ 98823930_ 98921400,chr7_ 98921400_ 99021729,chr7_ 99021729_ 99100661,chr7_ 99100661_ 99123191,chr7_ 99123191_ 99159052,chr7_ 99159052_ 99264631,chr7_ 99264631_ 99404365,chr7_ 99404365_ 99477990,chr7_ 99477990_ 99541472,chr7_ 99541472_ 99573623,chr7_ 99573623_ 99707707,chr7_ 99707707_ 99859609,chr7_ 99859609_ 99968728,chr7_ 99968728_100049875,chr7_100049875_100515968,chr7_100515968_100695232,chr7_100695232_100774124,chr7_100774124_100907982,chr7_100907982_101023278,chr7_101023278_101106388,chr7_101106388_101250490,chr7_101250490_101671655,chr7_101671655_101737024,chr7_101737024_101965473,chr7_101965473_102451797"
"182","chr7_97429_6824014","chr7_ 564557_1768981,chr7_1768981_2169565,chr7_2169565_2638628,chr7_2638628_2791840,chr7_2791840_2980091,chr7_2980091_3170050,chr7_3170050_3277595,chr7_3277595_3327291,chr7_3327291_3347009,chr7_3347009_3566682,chr7_3566682_3751501,chr7_3751501_3900765,chr7_3900765_3924234,chr7_3924234_4015367,chr7_4015367_4063116,chr7_4063116_4113489,chr7_4113489_4124087,chr7_4124087_4321204,chr7_4321204_4538571,chr7_4538571_4660312,chr7_4660312_4834826,chr7_4834826_5219344,chr7_5219344_5293556,chr7_5293556_5342075,chr7_5342075_5634611,chr7_5634611_5711434,chr7_5711434_5782974,chr7_5782974_6118698,chr7_6118698_6241437,chr7_6241437_6395619"
"183","chr7_9057063_9197116","chr7_9108690_9170988"
"184","chr7_10551228_15123913","chr7_10556191_10607838,chr7_10607838_10643387,chr7_10643387_10697619,chr7_10697619_10759736,chr7_10759736_10801645,chr7_10801645_10944697,chr7_10944697_10968899,chr7_10968899_11214643,chr7_11214643_11322903,chr7_11322903_11354402,chr7_11354402_11502850,chr7_11502850_11531214,chr7_11531214_11554059,chr7_11554059_11654750,chr7_11654750_11706703,chr7_11706703_11747396,chr7_11747396_11838890,chr7_11838890_12213146,chr7_12213146_12240503,chr7_12240503_12299654,chr7_12299654_12369218,chr7_12369218_12584856,chr7_12584856_12674719,chr7_12674719_12683245,chr7_12683245_12719066,chr7_12719066_12746224,chr7_12746224_12794410,chr7_12794410_12910649,chr7_12910649_12921805,chr7_12921805_12945047,chr7_12945047_13072065,chr7_13072065_13105320,chr7_13105320_13240119,chr7_13240119_13285083,chr7_13285083_13338343,chr7_13338343_13405788,chr7_13405788_13425753,chr7_13425753_13484765,chr7_13484765_13579125,chr7_13579125_13603935,chr7_13603935_13634794,chr7_13634794_13869279,chr7_13869279_13894627,chr7_13894627_14001483,chr7_14001483_14051484,chr7_14051484_14186386,chr7_14186386_14289144,chr7_14289144_14338658,chr7_14338658_14432387,chr7_14432387_14649180,chr7_14649180_14656395,chr7_14656395_14694259,chr7_14694259_14798679,chr7_14798679_14854803,chr7_14854803_14946507,chr7_14946507_15108376"
"185","chr7_15163926_15494714","chr7_15200911_15215542,chr7_15215542_15306918,chr7_15306918_15458701,chr7_15458701_15491465"
"186","chr7_16308180_19070988","chr7_16431455_16450968,chr7_16450968_16548538,chr7_16548538_16607970,chr7_16607970_16636557,chr7_16636557_16688288,chr7_16688288_16768653,chr7_16768653_16860727,chr7_16860727_16970250,chr7_16970250_17003649,chr7_17003649_17450220,chr7_17450220_17477529,chr7_17477529_17552732,chr7_17552732_17594410,chr7_17594410_17666209,chr7_17666209_17753798,chr7_17753798_17825251,chr7_17825251_17954312,chr7_17954312_18008056,chr7_18008056_18147129,chr7_18147129_18297618,chr7_18297618_18313095,chr7_18313095_18339742,chr7_18339742_18428185,chr7_18428185_18461116,chr7_18461116_18496123,chr7_18496123_18761260,chr7_18761260_18900446,chr7_18900446_18962877,chr7_18962877_18999561,chr7_18999561_19060607"
"187","chr7_19896048_20948175","chr7_20007190_20170968,chr7_20170968_20238052,chr7_20238052_20455323,chr7_20455323_20511849,chr7_20511849_20623275,chr7_20623275_20847264"
"188","chr7_25268049_28834879","chr7_25629379_25748151,chr7_25748151_25931128,chr7_25931128_26008349,chr7_26008349_26127948,chr7_26127948_26290188,chr7_26290188_26358043,chr7_26358043_26423459,chr7_26423459_26519099,chr7_26519099_26658701,chr7_26658701_26780637,chr7_26780637_26909089,chr7_26909089_26966981,chr7_26966981_27091683,chr7_27091683_27133068,chr7_27133068_27304717,chr7_27304717_27450184,chr7_27450184_27494898,chr7_27494898_27551044,chr7_27551044_27642445,chr7_27642445_27722143,chr7_27722143_27806221,chr7_27806221_27904254,chr7_27904254_27979454,chr7_27979454_28075763,chr7_28075763_28119352,chr7_28119352_28224872,chr7_28224872_28363620,chr7_28363620_28443435,chr7_28443435_28529940,chr7_28529940_28565001,chr7_28565001_28577614,chr7_28577614_28619067,chr7_28619067_28626496,chr7_28626496_28673385,chr7_28673385_28710540,chr7_28710540_28812364"
"189","chr7_29001253_31508271","chr7_29032961_29084497,chr7_29084497_29110390,chr7_29110390_29138758,chr7_29138758_29269874,chr7_29269874_29312200,chr7_29312200_29403415,chr7_29403415_29485485,chr7_29485485_29631596,chr7_29631596_29801580,chr7_29801580_29849544,chr7_29849544_30021203,chr7_30021203_30060024,chr7_30060024_30122338,chr7_30122338_30246029,chr7_30246029_30672608,chr7_30672608_30801635,chr7_30801635_30887293,chr7_30887293_31129761,chr7_31129761_31291927"
"190","chr7_31734578_33263695","chr7_31911036_31974531,chr7_31974531_32010996,chr7_32010996_32155154,chr7_32155154_32214919,chr7_32214919_32276327,chr7_32276327_32343444,chr7_32343444_32429110,chr7_32429110_32470446,chr7_32470446_32559285,chr7_32559285_32744552,chr7_32744552_33148341,chr7_33148341_33163102"
"191","chr7_46791333_46931649","chr7_46900456_46911919"
"192","chr7_47143393_48221338","chr7_47250802_47318097,chr7_47318097_47421104,chr7_47421104_47603283,chr7_47603283_47725514,chr7_47725514_47737164,chr7_47737164_47766635,chr7_47766635_47785103,chr7_47785103_47831278,chr7_47831278_47973140,chr7_47973140_47993503,chr7_47993503_48016268,chr7_48016268_48098597,chr7_48098597_48205064"
"193","chr7_50353797_56548592","chr7_50463711_50540936,chr7_50540936_50599746,chr7_50599746_50616537,chr7_50616537_50688136,chr7_50688136_50780692,chr7_50780692_50852616,chr7_50852616_50976209,chr7_50976209_51045623,chr7_51045623_51126145,chr7_51126145_51162243,chr7_51162243_51289071,chr7_51289071_51349536,chr7_51349536_51393449,chr7_51393449_51593125,chr7_51593125_51762099,chr7_51762099_51778750,chr7_51778750_52013842,chr7_52013842_52231406,chr7_52231406_52284172,chr7_52284172_52365760,chr7_52365760_52394977,chr7_52394977_52509393,chr7_52509393_52609502,chr7_52609502_53029022,chr7_53029022_53449578,chr7_53449578_53780042,chr7_53780042_53871474,chr7_53871474_54140871,chr7_54140871_54208886,chr7_54208886_54470289,chr7_54470289_54516468,chr7_54516468_54540210,chr7_54540210_54631719,chr7_54631719_54692826,chr7_54692826_54772211,chr7_54772211_54862295,chr7_54862295_55068515,chr7_55068515_55203876,chr7_55203876_55224390,chr7_55224390_55260994,chr7_55260994_55392785,chr7_55392785_55415618,chr7_55415618_55462967,chr7_55462967_55498084,chr7_55498084_55772160,chr7_55772160_55835627,chr7_55835627_55951795,chr7_55951795_55973170,chr7_55973170_56306927,chr7_56306927_56359385,chr7_56359385_56420652"
"194","chr8_57609349_57686014","chr8_57613776_57641312,chr8_57641312_57664535"
"195","chr8_60392358_65038944","chr8_60468619_60486171,chr8_60486171_60577204,chr8_60577204_60643437,chr8_60643437_60679939,chr8_60679939_60730669,chr8_60730669_60843572,chr8_60843572_61029390,chr8_61029390_61072905,chr8_61072905_61110315,chr8_61110315_61132898,chr8_61132898_61151744,chr8_61151744_61188204,chr8_61188204_61264366,chr8_61264366_61423184,chr8_61423184_61458244,chr8_61458244_61494147,chr8_61494147_61616424,chr8_61616424_61660940,chr8_61660940_61733710,chr8_61733710_61755716,chr8_61755716_61784919,chr8_61784919_61860157,chr8_61860157_61872765,chr8_61872765_61897752,chr8_61897752_62014701,chr8_62014701_62040954,chr8_62040954_62083161,chr8_62083161_62196230,chr8_62196230_62216293,chr8_62216293_62288752,chr8_62288752_62332021,chr8_62332021_62383828,chr8_62383828_62430157,chr8_62430157_62453197,chr8_62453197_62502735,chr8_62502735_62604515,chr8_62604515_62654449,chr8_62654449_62743832,chr8_62743832_62776382,chr8_62776382_62925862,chr8_62925862_63004105,chr8_63004105_63135417,chr8_63135417_63247691,chr8_63247691_63265169,chr8_63265169_63272863,chr8_63272863_63455986,chr8_63455986_63591690,chr8_63591690_63618852,chr8_63618852_63656118,chr8_63656118_63690597,chr8_63690597_63793002,chr8_63793002_63891554,chr8_63891554_63925949,chr8_63925949_63989410,chr8_63989410_64008685,chr8_64008685_64186211,chr8_64186211_64229317,chr8_64229317_64294714,chr8_64294714_64372033,chr8_64372033_64412872,chr8_64412872_64460650,chr8_64460650_64539347,chr8_64539347_64718633,chr8_64718633_64726381,chr8_64726381_64962485"
"196","chr8_66788878_66879137","chr8_66810825_66848002"
"197","chr9_70861163_71220821","chr9_71084592_71099633,chr9_71099633_71134117,chr9_71134117_71163171,chr9_71163171_71193302"
"198","chr9_76311560_76592580","chr9_76410583_76452349,chr9_76452349_76513869"
"199","chr9_77328819_77465508","chr9_77343305_77457407"
"200","chr9_80577172_80838070","chr9_80623751_80665808,chr9_80665808_80782408,chr9_80782408_80786497"
"201","chr9_81972405_83817077","chr9_81983964_82001676,chr9_82001676_82101276,chr9_82101276_82171986,chr9_82171986_82376384,chr9_82376384_82419858,chr9_82419858_82459561,chr9_82459561_82708319,chr9_82708319_82842898,chr9_82842898_82869404,chr9_82869404_83004056,chr9_83004056_83046517,chr9_83046517_83085394,chr9_83085394_83343478,chr9_83343478_83463295,chr9_83463295_83484606,chr9_83484606_83744132,chr9_83744132_83754243,chr9_83754243_83799150"
"202","chr9_85203172_85696699","chr9_85244415_85350931,chr9_85350931_85398206,chr9_85398206_85433595,chr9_85433595_85496001,chr9_85496001_85586622,chr9_85586622_85648736"
"203","chr9_86588250_89805382","chr9_86664741_86721692,chr9_86721692_86738763,chr9_86738763_86929369,chr9_86929369_87016865,chr9_87016865_87052278,chr9_87052278_87102471,chr9_87102471_87170825,chr9_87170825_87214030,chr9_87214030_87301336,chr9_87301336_87376320,chr9_87376320_87383488,chr9_87383488_87427474,chr9_87427474_87487469,chr9_87487469_87597093,chr9_87597093_87675904,chr9_87675904_87837461,chr9_87837461_87883062,chr9_87883062_87934897,chr9_87934897_88094906,chr9_88094906_88165182,chr9_88165182_88201621,chr9_88201621_88499065,chr9_88499065_88552745,chr9_88552745_88610460,chr9_88610460_88721701,chr9_88721701_88794784,chr9_88794784_88856394,chr9_88856394_88907793,chr9_88907793_88966900,chr9_88966900_89008678,chr9_89008678_89055459,chr9_89055459_89128819,chr9_89128819_89176708,chr9_89176708_89365484,chr9_89365484_89455339,chr9_89455339_89675013"
"204","chr9_1586826_1733420","chr9_1655898_1673278"
"205","chr9_1838822_2186153","chr9_1891747_1968730,chr9_1968730_1990426"
"206","chr9_2935704_3402382","chr9_2940364_2966511,chr9_2966511_3006167,chr9_3006167_3060983,chr9_3060983_3177474,chr9_3177474_3177574,chr9_3177574_3204838"
"207","chr9_7017435_7077152","chr9_7019853_7039167"
"208","chr9_8021161_8079193","chr9_8031491_8055636"
"209","chr10_9929466_10101707","chr10_10006266_10054594"
"210","chr10_10215890_10531996","chr10_10353088_10508507"
"211","chr10_11144739_11672646","chr10_11384680_11451619"
"212","chr10_11935582_12044577","chr10_11952148_11987281"
"213","chr10_13399513_16829424","chr10_13435057_13626546,chr10_13626546_13774785,chr10_13774785_13847867,chr10_13847867_13901797,chr10_13901797_13944085,chr10_13944085_14037010,chr10_14037010_14040504,chr10_14040504_14175817,chr10_14175817_14206139,chr10_14206139_14356563,chr10_14356563_14403848,chr10_14403848_14476925,chr10_14476925_14478605,chr10_14478605_14509814,chr10_14509814_14597591,chr10_14597591_14653230,chr10_14653230_14691544,chr10_14691544_14780074,chr10_14780074_14864206,chr10_14864206_14932267,chr10_14932267_15066743,chr10_15066743_15102758,chr10_15102758_15234015,chr10_15234015_15266837,chr10_15266837_15523235,chr10_15523235_15608192,chr10_15608192_15630174,chr10_15630174_15708355,chr10_15708355_15870412,chr10_15870412_15919266,chr10_15919266_15989510,chr10_15989510_16020159,chr10_16020159_16084106,chr10_16084106_16155799,chr10_16155799_16162398,chr10_16162398_16297376,chr10_16297376_16331057,chr10_16331057_16384562,chr10_16384562_16428722,chr10_16428722_16539282,chr10_16539282_16663360,chr10_16663360_16711864,chr10_16711864_16787542"
"214","chr10_17380355_17754266","chr10_17391791_17438483,chr10_17438483_17539224,chr10_17539224_17599402,chr10_17599402_17687003"
"215","chr10_18939270_19061689","chr10_18948830_19008161,chr10_19008161_19035608,chr10_19035608_19060572"
"216","chr10_21432325_26449758","chr10_21470301_21521320,chr10_21521320_21618085,chr10_21618085_21733494,chr10_21733494_21743488,chr10_21743488_21863895,chr10_21863895_21877715,chr10_21877715_21922723,chr10_21922723_22101854,chr10_22101854_22206948,chr10_22206948_22258178,chr10_22258178_22369584,chr10_22369584_22417570,chr10_22417570_22473540,chr10_22473540_22515884,chr10_22515884_22594306,chr10_22594306_22633728,chr10_22633728_22699647,chr10_22699647_22917854,chr10_22917854_22973886,chr10_22973886_23083002,chr10_23083002_23146209,chr10_23146209_23215823,chr10_23215823_23304240,chr10_23304240_23387279,chr10_23387279_23438590,chr10_23438590_23510117,chr10_23510117_23659069,chr10_23659069_23753836,chr10_23753836_23845689,chr10_23845689_23911866,chr10_23911866_23966688,chr10_23966688_24012500,chr10_24012500_24071082,chr10_24071082_24250277,chr10_24250277_24385778,chr10_24385778_24413819,chr10_24413819_24474190,chr10_24474190_24530665,chr10_24530665_24613000,chr10_24613000_24651011,chr10_24651011_24732978,chr10_24732978_24882174,chr10_24882174_24994661,chr10_24994661_25067414,chr10_25067414_25245564,chr10_25245564_25321408,chr10_25321408_25373627,chr10_25373627_25496804,chr10_25496804_25592960,chr10_25592960_25642530,chr10_25642530_25715751,chr10_25715751_25751439,chr10_25751439_25797553,chr10_25797553_25873561,chr10_25873561_26071529,chr10_26071529_26212763,chr10_26212763_26260133,chr10_26260133_26290538,chr10_26290538_26407814,chr10_26407814_26438308"
"217","chr10_27837881_27970327","chr10_27872460_27917160"
"218","chr10_29329104_30821933","chr10_29446190_29486186,chr10_29486186_29641125,chr10_29641125_29667743,chr10_29667743_29839551,chr10_29839551_29853680,chr10_29853680_29896839,chr10_29896839_29958349,chr10_29958349_30041226,chr10_30041226_30108601,chr10_30108601_30312214,chr10_30312214_30382078,chr10_30382078_30535169,chr10_30535169_30582219,chr10_30582219_30640878,chr10_30640878_30671200,chr10_30671200_30720773"
"219","chr10_32690104_33285713","chr10_32730902_32992417,chr10_32992417_33010020,chr10_33010020_33059456,chr10_33059456_33248124,chr10_33248124_33261547"
"220","chr10_33510445_33997917","chr10_33536526_33565009,chr10_33565009_33602002,chr10_33602002_33622878,chr10_33622878_33686991,chr10_33686991_33797684,chr10_33797684_33867800"
"221","chr10_34432617_34842810","chr10_34469038_34740006,chr10_34740006_34832564"
"222","chr10_36462499_37075031","chr10_36482714_36578961,chr10_36578961_36588623,chr10_36588623_36863030,chr10_36863030_37051924"
"223","chr10_37224092_37417820","chr10_37231807_37415783"
"224","chr10_37558425_38721661","chr10_37634948_37730472,chr10_37730472_37783431,chr10_37783431_37874497,chr10_37874497_38001701,chr10_38001701_38078372,chr10_38078372_38153688,chr10_38153688_38254508,chr10_38254508_38314885,chr10_38314885_38427832,chr10_38427832_38487420,chr10_38487420_38531056,chr10_38531056_38679731"
"225","chr10_41061319_49075978","chr10_42400327_42401283,chr10_42401283_42439889,chr10_42439889_43004710,chr10_43004710_43304222,chr10_43304222_43358183,chr10_43358183_43465677,chr10_43465677_43622212,chr10_43622212_43907561,chr10_43907561_43974796,chr10_43974796_44021394,chr10_44021394_44144920,chr10_44144920_44237777,chr10_44237777_44295638,chr10_44295638_44336902,chr10_44336902_44389736,chr10_44389736_44418907,chr10_44418907_44761121,chr10_44761121_44924396,chr10_44924396_45099512,chr10_45099512_45429875,chr10_45429875_45497387,chr10_45497387_45770984,chr10_45770984_45896680,chr10_45896680_45958897,chr10_45958897_46944811,chr10_46944811_46975637,chr10_46975637_48452090,chr10_48452090_48615770,chr10_48615770_48661803"
"226","chr10_49350722_54939612","chr10_49691296_49748253,chr10_49748253_49807149,chr10_49807149_49872684,chr10_49872684_49918791,chr10_49918791_50101821,chr10_50101821_50130516,chr10_50130516_50409336,chr10_50409336_50482658,chr10_50482658_50590899,chr10_50590899_50838260,chr10_50838260_50980423,chr10_50980423_51017812,chr10_51017812_51072222,chr10_51072222_52011114,chr10_52011114_52040384,chr10_52040384_52073144,chr10_52073144_52271843,chr10_52271843_52318987,chr10_52318987_52398660,chr10_52398660_52478636,chr10_52478636_52639709,chr10_52639709_52823529,chr10_52823529_52849843,chr10_52849843_52939619,chr10_52939619_53114932,chr10_53114932_53163745,chr10_53163745_53646679,chr10_53646679_53669899,chr10_53669899_53762924,chr10_53762924_53891104,chr10_53891104_53915577,chr10_53915577_54111836,chr10_54111836_54184142,chr10_54184142_54204401,chr10_54204401_54383583,chr10_54383583_54431279,chr10_54431279_54543693,chr10_54543693_54587583,chr10_54587583_54694422,chr10_54694422_54701146,chr10_54701146_54817995,chr10_54817995_54837309,chr10_54837309_54860269"
"227","chr10_55038135_57079102","chr10_55095791_55221522,chr10_55221522_55246883,chr10_55246883_55309252,chr10_55309252_55365145,chr10_55365145_55440355,chr10_55440355_55500166,chr10_55500166_55560351,chr10_55560351_55587100,chr10_55587100_55623146,chr10_55623146_55724520,chr10_55724520_55875632,chr10_55875632_55945394,chr10_55945394_55991290,chr10_55991290_56053609,chr10_56053609_56192460,chr10_56192460_56232285,chr10_56232285_56282850,chr10_56282850_56348556,chr10_56348556_56412003,chr10_56412003_56424314,chr10_56424314_56468082,chr10_56468082_56586817,chr10_56586817_56670723,chr10_56670723_56773060,chr10_56773060_56868542,chr10_56868542_56969815"
"228","chr10_59164059_59560877","chr10_59229836_59537901"
"229","chr10_60679402_60872416","chr10_60724271_60750060,chr10_60750060_60784886"
"230","chr10_61086920_61489047","chr10_61119907_61204600,chr10_61204600_61377964,chr10_61377964_61419302,chr10_61419302_61431523"
"231","chr10_61492888_61628176","chr10_61518520_61581461"
"232","chr10_63637081_64128881","chr10_63646182_63711436,chr10_63711436_63742370,chr10_63742370_63903963,chr10_63903963_64023413,chr10_64023413_64077570"
"233","chr10_65353634_65529066","chr10_65410893_65425314"
